书名,别名,作者,作者国籍,出版社,出版时间,价格,评价,评价人数,是否可试读,链接
海风中失落的血色馈赠,The Lost Salt Gift of Blood,阿利斯泰尔·麦克劳德陈以侃,加拿大, 上海文艺出版社 , 2015-6-1 , CNY 20.00,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟,16303,不可试读,https://book.douban.com/subject/26357614/
桶川跟踪狂杀人事件,桶川ストーカー殺人事件,清水洁王华懋,日, 四川人民出版社 , 2021-2 , 45.00,无热评,21516,可试读,https://book.douban.com/subject/35094680/
长日将尽,The Remains of the Day,石黑一雄冯涛,英, 上海译文出版社 , 2018-5 , 48.00,无热评,24334,可试读,https://book.douban.com/subject/30142261/
社会心理学,  （第8版） ,戴维·迈尔斯张智勇,美, 人民邮电出版社 , 2006-1 , 68.00,人们是如何思索、影响他人并与他人建立联系的,23736,可试读,https://book.douban.com/subject/1476651/
1367,  陳浩基作品2 ,陳浩基 ,中, 皇冠文化出版有限公司 , 2014-6-9 , NT$350,无热评,14068,不可试读,https://book.douban.com/subject/25897884/
一句顶一万句,无别名,刘震云 ,中, 长江文艺出版社 , 2009-3 , 29.80,一句胜过千年,54210,可试读,https://book.douban.com/subject/3633461/
孩子你慢慢来,无别名,龙应台 ,中, 生活·读书·新知三联书店 , 2009-12-1 , 28.00,我们现在怎样做母亲,73962,不可试读,https://book.douban.com/subject/4207781/
草房子,无别名,曹文轩 ,中, 江苏少年儿童出版社 , 2009-6 , 18.00,男孩桑桑刻骨铭心、终身难忘的六年小学生活,39688,不可试读,https://book.douban.com/subject/1052990/
麦琪的礼物,  欧·亨利短篇小说经典 ,欧·亨利张经浩,美, 上海社会科学院出版社 , 2003-7 , 25.00,日常的奇迹,69712,不可试读,https://book.douban.com/subject/1051193/
天朝的崩溃,  鸦片战争再研究 ,茅海建 ,中, 生活·读书·新知三联书店 , 2005-7 , 32.00,鸦片战争再研究,13169,不可试读,https://book.douban.com/subject/1675478/
九州·缥缈录,无别名,江南 ,中, 新世界出版社 , 2005-6 , 20.00,乱世的英雄史诗,29867,不可试读,https://book.douban.com/subject/1321017/
强风吹拂,风が强く吹いている,三浦紫苑  林佩瑾 ,中, 广西师范大学出版社 , 2015-1-1 , 39.00,明明这么痛苦，这么难过，为什么就是不能放弃跑步？,18852,不可试读,https://book.douban.com/subject/26210487/
浮生六记,无别名,（清）沈复 ,中, 人民文学出版社 , 1999-1 , 38,苟不记之笔墨，未免有辜彼苍之厚,62540,不可试读,https://book.douban.com/subject/1088581/
情书,ラヴレター,岩井俊二穆晓芳,日, 天津人民出版社 , 2004-7 , 18.00,一场同名同姓的误会，两段可贵的爱情,100025,不可试读,https://book.douban.com/subject/1080370/
送你一颗子弹,无别名,刘瑜 ,中, 上海三联书店 , 2010-1 , 25.00,在这本书里，被“审视”的东西杂七杂八,137093,不可试读,https://book.douban.com/subject/4238362/
银河系漫游指南,The Hitchhiker's Guide to the Galaxy,道格拉斯·亚当斯徐百柯,英, 四川科学技术出版社 , 2005-6 , 16.00,一场穿越银河的冒险,20354,不可试读,https://book.douban.com/subject/1394364/
野火集,  二十年纪念版 ,龙应台 ,中, 文汇出版社 , 2005-8 , 25.00,中国人，你为什么不生气,33527,不可试读,https://book.douban.com/subject/1426971/
尼罗河上的惨案,Death on the Nile,阿加莎·克里斯蒂宫英海,英, 人民文学出版社 , 2006-5 , 22.00,阿加莎·克里斯蒂代表作,44137,不可试读,https://book.douban.com/subject/1818347/
万物有灵且美,All Things Bright and Beautiful,吉米·哈利种衍伦,英, 中国城市出版社 , 2010-1 , 28.80,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事,21070,不可试读,https://book.douban.com/subject/4187411/
少年凯歌,无别名,陈凯歌 ,中, 人民文学出版社 , 2001-6 , 10.00,无热评,9291,不可试读,https://book.douban.com/subject/1091203/
半生缘,无别名,张爱玲 ,中, 北京十月文艺出版社 , 2006-12 , 28.00,世钧，我们回不去了,78253,不可试读,https://book.douban.com/subject/1963684/
安娜·卡列尼娜,Anna karenina,列夫·托尔斯泰草婴,俄, 上海文艺出版社 , 2007-8 , 37.00,无热评,20458,不可试读,https://book.douban.com/subject/2253380/
恶意,悪意,东野圭吾娄美莲,日, 南海出版公司 , 2016-11-1 , 39.50,无热评,77470,不可试读,https://book.douban.com/subject/26877752/
渴望生活,  梵高传 ,欧文·斯通常涛,美, 北京十月文艺出版社 , 2008-4 , 29.80,梵高悲惨而成就辉煌的人生,10762,不可试读,https://book.douban.com/subject/3054821/
额尔古纳河右岸,无别名,迟子建 ,中, 北京十月文艺出版社 , 2005-12-1 , 29.00,东北少数民族鄂温克人生存现状及百年沧桑,19901,不可试读,https://book.douban.com/subject/3311253/
遥远的向日葵地,无别名,李娟 ,中, 花城出版社 , 2017-11 , 38.00,无热评,16245,不可试读,https://book.douban.com/subject/27184303/
罗生门,羅生門,芥川龙之介林少华,日, 上海译文出版社 , 2008-7 , 12.00,人生，远比地狱更像地狱,61551,不可试读,https://book.douban.com/subject/3136271/
理想国,Πολιτεία,柏拉图郭斌和,古希腊, 商务印书馆 , 1986-8 , 28.00,人类历史上最早的乌托邦,30299,不可试读,https://book.douban.com/subject/1004821/
倚天屠龙记,无别名,金庸 ,中, 生活·读书·新知三联书店 , 1999-04 , 47.00,不识张郎是张郎,56456,不可试读,https://book.douban.com/subject/1070851/
枪炮、病菌与钢铁,  人类社会的命运 ,贾雷德·戴蒙德谢延光,美, 上海译文出版社 , 2006-4-1 , 45.00,人类社会的命运,43309,可试读,https://book.douban.com/subject/1813841/
雨季不再来,无别名,三毛 ,中, 北京十月文艺出版社 , 2007-7 , 28.00,三毛少女时代的成长感受,50075,不可试读,https://book.douban.com/subject/2136140/
一桩事先张扬的凶杀案,Crónica de una muerte anunciada,加西亚·马尔克斯魏然,哥伦比亚, 南海出版公司 , 2013-6 , 25.00,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,35919,不可试读,https://book.douban.com/subject/24382569/
激荡三十年,  中国企业1978-2008（珍藏图文版） ,吴晓波 ,中, 中信出版社 , 2008-7-1 , 32.00,中国企业1978—2008,16271,可试读,https://book.douban.com/subject/3151575/
你好，旧时光（上下）,玛丽苏病例报告,八月长安 ,中, 新世界出版社 , 2009-12 , 39.80,原作名切题,44532,不可试读,https://book.douban.com/subject/4166819/
最好的我们,流水混账,八月长安 ,中, 湖南文艺出版社 , 2013-8-5 , 55,耿耿余淮,66520,可试读,https://book.douban.com/subject/24754316/
亲爱的安德烈,无别名,龙应台 ,中, 人民文学出版社 , 2008-12 , 26.00,弭平代沟，跨越文化阻隔,116439,可试读,https://book.douban.com/subject/3369793/
